gap_id,company_name,openfda_sponsor_name,ticker,exchange,us_investable_class,drug_brand,drug_generic,application_number,application_kind,decision_date,chemical_type_description,review_priority,source_url_1,source_url_2,verification_status,sponsor_resolution_basis,notes
T1GAP-BLA103909,Roche Holding AG,GENENTECH,NO_US_TICKER,SIX,NON-US LISTING ONLY,TNKASE,TENECTEPLASE,BLA103909,BLA,2000-06-02,Type 1 - New Molecular Entity,STANDARD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103909,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103909""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA103846,Elan Corporation plc,ELAN PHARM,NO_US_TICKER,,FORMERLY US-LISTED (DELISTED/ACQUIRED),MYOBLOC,RIMABOTULINUMTOXINB,BLA103846,BLA,2000-12-08,Type 1 - New Molecular Entity,STANDARD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103846,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103846""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA103949,Merck & Co.,SCHERING,MRK,NYSE,US-LISTED,PEGINTRON,PEGINTERFERON ALFA-2B 120UG/0.5ML,BLA103949,BLA,2001-01-19,Type 1 - New Molecular Entity,STANDARD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103949,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103949""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA103948,Sanofi,GENZYME,SNY,NASDAQ,US-LISTED (ADR),LEMTRADA,ALEMTUZUMAB,BLA103948,BLA,2001-05-07,Type 1 - New Molecular Entity,PRIORITY,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103948,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103948""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA103951,Amgen Inc.,AMGEN,AMGN,NASDAQ,US-LISTED,ARANESP,DARBEPOETIN ALFA,BLA103951,BLA,2001-09-17,Type 1 - New Molecular Entity,STANDARD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103951,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103951""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA103950,Swedish Orphan Biovitrum AB,BIOVITRUM AB,NO_US_TICKER,Nasdaq Stockholm,NON-US LISTING ONLY,KINERET,ANAKINRA,BLA103950,BLA,2001-11-14,Type 1 - New Molecular Entity,STANDARD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103950,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103950""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA125031,Amgen Inc.,AMGEN,AMGN,NASDAQ,US-LISTED,NEULASTA,PEGFILGRASTIM,BLA125031,BLA,2002-01-31,Type 1 - New Molecular Entity,STANDARD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125031,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA125031""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA125019,Spectrum Pharmaceuticals,SPECTRUM PHARMS,SPPI,NASDAQ,US-LISTED,ZEVALIN,IBRITUMOMAB TIUXETAN,BLA125019,BLA,2002-02-19,Type 1 - New Molecular Entity,PRIORITY,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125019,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA125019""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA103780,Merck KGaA,SERONO INC,NO_US_TICKER,XETRA,NON-US LISTING ONLY,REBIF,INTERFERON BETA-1A,BLA103780,BLA,2002-03-07,Type 1 - New Molecular Entity,UNKNOWN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103780,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103780""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
T1GAP-BLA103946,Sanofi,SANOFI SYNTHELABO,SNY,NASDAQ,US-LISTED (ADR),ELITEK,RASBURICASE,BLA103946,BLA,2002-07-12,Type 1 - New Molecular Entity,STANDARD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103946,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103946""",FLAGGED FOR REVIEW — Type 1 NME in openFDA Drugs@FDA but not matched to fda_decisions_master.csv. NOT merged into the NME master (would break the official CDER year-count audit). Early-2000s BLAs were often CBER-licensed and excluded from CDER NME year tables; later rows may be alternate presentations or copacks of an already-listed NME.,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Do not treat as a confirmed missing novel approval until a human compares this row to FDA's official NME year table and the master list. Blank beats guessed — left out of the 980-row NME count on purpose.
